Pond_Area_m2,Brine_Density_g_cc,Evaporation_Days,Avg_Temperature_C,Climate_Temp_Range_C,Solar_Irradiance_W_m2,Crystallization_Method,Salt_Yield_tons
2185.4,1.165,15.1,24.2,7.9,855.0,Batch,1.368
4778.2,1.208,18.4,20.5,7.2,414.8,Batch,2.438
3794.0,1.209,15.3,23.6,6.1,413.3,Batch,2.396
3194.0,1.217,12.7,31.7,10.8,594.2,Batch,2.467
1202.1,1.225,13.6,28.4,11.2,693.2,Batch,0.689
1202.0,1.248,23.8,37.9,14.4,862.2,Batch,0.884
761.4,1.206,16.2,36.3,13.5,810.0,Batch,0.647
4397.8,1.189,20.9,26.8,11.6,667.5,Batch,3.434
3205.0,1.232,25.1,25.2,9.1,564.2,Continuous,1.626
3686.3,1.184,30.7,27.6,11.9,998.3,Continuous,1.866
592.6,1.2,11.2,31.8,8.6,655.7,Continuous,0.488
4864.6,1.167,34.0,25.4,8.8,670.8,Continuous,2.986
4246.0,1.162,28.8,32.5,13.9,498.2,Continuous,3.14
1455.5,1.247,12.5,28.2,11.6,876.9,Batch,1.053
1318.2,1.235,36.2,31.0,10.6,816.2,Batch,0.972
1325.3,1.223,37.6,28.7,8.6,532.5,Batch,1.434
1869.1,1.197,11.8,25.9,9.8,449.4,Continuous,0.601
2861.4,1.176,18.3,39.0,12.2,808.3,Continuous,2.11
2443.8,1.174,34.2,35.3,12.1,792.7,Batch,1.829
1810.5,1.183,32.4,22.8,6.1,564.0,Continuous,0.497
3253.3,1.209,15.5,37.4,12.6,970.5,Batch,2.547
1127.7,1.224,16.3,29.7,10.0,490.6,Continuous,1.321
1814.7,1.219,21.1,37.9,15.0,659.4,Batch,1.525
2148.6,1.185,24.5,36.0,13.8,966.2,Batch,1.769
2552.3,1.246,28.5,28.5,11.9,651.8,Batch,1.371
4033.3,1.226,21.1,20.4,6.6,783.1,Batch,1.907
1398.5,1.21,23.9,25.4,10.5,638.6,Batch,0.753
2814.1,1.215,32.4,30.8,8.7,564.5,Batch,1.933
3165.9,1.198,11.1,32.7,13.3,990.4,Continuous,2.89
709.0,1.182,17.6,25.2,9.7,645.6,Batch,0.584
3234.0,1.192,31.4,22.8,7.9,936.5,Batch,1.4
1267.4,1.228,36.9,36.7,15.3,538.0,Continuous,1.244
792.7,1.161,25.4,39.7,15.9,527.9,Continuous,0.842
4770.0,1.17,26.0,30.5,10.1,418.7,Batch,3.68
4845.3,1.164,13.2,23.4,7.4,791.0,Batch,3.368
4137.8,1.164,23.4,25.4,11.6,621.1,Batch,1.9
1870.8,1.237,26.0,20.4,5.4,918.6,Batch,0.792
939.5,1.223,17.3,38.3,13.4,683.9,Continuous,0.463
3579.0,1.203,18.1,22.4,7.8,980.9,Batch,1.878
2480.7,1.169,21.3,31.5,11.4,511.3,Batch,1.85
1049.2,1.204,10.6,25.5,11.3,921.2,Continuous,0.966
2728.3,1.203,19.7,31.1,10.2,866.0,Batch,1.886
654.7,1.176,16.3,33.0,15.0,862.6,Batch,0.4
4591.9,1.199,19.8,36.6,15.3,906.9,Batch,3.708
1664.5,1.196,13.6,24.1,7.8,856.6,Continuous,0.721
3481.4,1.215,36.7,20.2,5.7,775.7,Batch,2.869
1902.7,1.217,27.8,22.7,5.4,478.7,Continuous,0.609
2840.3,1.164,30.4,38.0,12.8,419.5,Batch,2.289
2960.2,1.194,33.7,37.5,12.2,952.5,Batch,3.259
1331.8,1.216,25.0,31.9,11.3,770.0,Continuous,1.049
4863.1,1.205,12.6,32.0,13.1,877.9,Continuous,3.493
3988.1,1.237,26.1,33.3,15.9,688.9,Continuous,3.125
4727.7,1.219,27.6,23.5,7.6,470.4,Continuous,2.864
4526.7,1.175,32.4,38.3,13.4,475.1,Continuous,4.453
3190.5,1.166,22.9,28.4,8.4,811.3,Batch,1.095
4648.4,1.218,13.8,27.7,9.0,658.2,Batch,3.679
898.2,1.162,18.5,30.4,8.6,520.3,Continuous,0.202
1381.9,1.213,20.9,20.9,6.4,695.0,Batch,0.663
703.5,1.245,29.4,23.3,7.5,438.5,Continuous,0.353
1964.0,1.212,27.1,34.8,13.6,749.2,Continuous,1.84
2249.0,1.195,20.7,21.7,7.3,561.4,Batch,0.616
1721.1,1.218,39.6,32.1,15.5,878.5,Batch,1.525
4229.3,1.201,28.2,24.9,5.5,586.2,Continuous,3.612
2105.4,1.209,17.1,27.8,11.4,673.1,Batch,0.873
1764.2,1.245,13.1,25.8,9.9,407.0,Continuous,1.195
2942.1,1.195,14.6,27.1,11.9,443.5,Batch,1.526
1134.2,1.247,17.4,34.4,13.6,635.5,Continuous,1.075
4109.9,1.241,14.8,25.9,8.5,688.0,Batch,2.563
835.5,1.178,15.6,31.3,10.7,760.0,Continuous,0.425
4941.0,1.166,18.6,29.5,9.3,575.0,Batch,3.38
3975.1,1.169,15.2,33.3,12.9,817.0,Batch,3.619
1394.2,1.162,36.9,38.7,15.9,916.1,Batch,1.085
524.8,1.168,12.4,34.7,15.6,867.9,Continuous,0.63
4169.6,1.221,25.7,24.3,7.5,423.8,Continuous,2.048
3680.9,1.166,22.3,20.6,7.2,688.3,Batch,1.4
3780.5,1.189,39.5,25.2,11.3,463.0,Batch,2.516
3970.7,1.236,13.4,31.9,9.1,545.2,Batch,3.478
833.2,1.162,21.9,21.0,6.5,992.0,Continuous,0.554
2113.1,1.233,39.1,29.9,10.8,485.5,Continuous,1.581
1021.4,1.185,36.0,31.9,10.1,699.3,Batch,0.749
4384.0,1.171,34.5,26.7,9.2,770.9,Batch,2.089
3304.8,1.223,17.7,35.4,15.5,821.5,Batch,2.847
1989.0,1.217,15.1,22.1,6.9,735.8,Batch,1.399
786.0,1.239,30.1,21.5,7.3,405.9,Batch,0.344
1899.4,1.226,37.9,34.6,13.9,595.9,Continuous,1.501
1963.3,1.232,26.7,29.9,11.8,710.6,Batch,1.525
3783.2,1.185,27.1,33.8,13.9,452.7,Continuous,2.712
3369.0,1.176,18.4,28.7,11.1,610.4,Batch,2.102
4492.5,1.228,33.1,24.9,7.2,419.9,Batch,3.881
2625.0,1.233,15.6,36.4,13.5,447.1,Continuous,2.084
1038.2,1.249,19.7,36.0,13.1,638.2,Continuous,0.799
3709.6,1.197,22.8,33.9,12.8,479.6,Continuous,2.593
3923.5,1.193,25.2,25.4,10.7,740.5,Batch,2.708
3025.7,1.23,17.3,31.8,10.2,813.7,Batch,2.124
3969.4,1.191,13.4,27.2,8.4,880.4,Continuous,2.274
2722.1,1.244,28.3,21.8,7.2,520.1,Batch,2.145
2852.3,1.237,18.7,38.3,14.3,500.5,Batch,2.949
2423.9,1.199,27.4,22.7,5.6,462.7,Batch,1.134
614.4,1.228,14.6,39.0,15.9,781.9,Batch,0.05
985.5,1.228,24.4,28.9,9.5,823.9,Continuous,1.038
641.4,1.169,26.0,23.7,6.7,419.0,Batch,0.164
3363.8,1.241,11.6,30.8,8.4,961.7,Batch,2.68
1914.6,1.205,20.1,37.5,14.3,431.2,Batch,0.861
2788.6,1.234,14.0,34.6,15.8,724.8,Batch,2.489
4584.0,1.189,11.9,36.1,12.8,825.4,Batch,2.906
1621.8,1.241,39.7,33.2,12.4,922.6,Batch,1.618
2346.7,1.195,19.7,33.8,15.4,828.5,Batch,1.758
3900.0,1.161,34.3,37.0,13.8,881.0,Continuous,2.746
1529.6,1.241,17.6,25.0,6.0,603.7,Batch,0.811
846.4,1.168,30.4,29.8,11.6,888.9,Batch,0.778
1803.9,1.189,32.8,24.4,5.9,448.1,Continuous,1.147
1225.5,1.246,27.9,39.8,15.5,936.9,Continuous,1.38
4683.6,1.246,24.1,38.9,13.8,728.6,Batch,5.069
4136.5,1.212,22.4,20.8,6.1,890.4,Batch,1.521
3350.3,1.217,20.5,34.1,14.5,671.4,Batch,3.229
4421.6,1.2,37.9,38.5,15.7,786.1,Continuous,4.035
4116.5,1.186,34.9,23.6,7.7,715.8,Continuous,2.095
1339.6,1.19,39.0,31.4,9.1,839.0,Continuous,0.609
4516.5,1.221,13.7,38.3,14.8,449.0,Batch,3.55
2927.0,1.228,31.9,20.7,6.2,436.2,Continuous,2.116
4133.5,1.231,38.2,33.9,14.8,548.3,Batch,3.344
4532.4,1.231,15.4,25.9,10.2,495.7,Batch,3.49
1931.0,1.168,12.0,38.5,13.2,923.1,Batch,1.043
995.2,1.204,32.2,39.4,13.4,531.5,Continuous,0.916
1525.7,1.165,27.2,38.9,15.2,985.5,Batch,0.846
2422.0,1.209,35.3,29.5,9.9,602.1,Continuous,1.944
4181.1,1.2,14.2,37.2,12.8,509.3,Batch,3.667
4373.3,1.24,33.9,36.9,15.8,873.8,Batch,3.648
531.3,1.192,16.0,26.4,9.2,795.2,Batch,0.05
2798.4,1.171,14.9,36.6,16.0,698.9,Batch,2.216
2378.3,1.173,14.9,20.7,6.7,733.2,Continuous,1.402
1499.5,1.229,34.4,31.9,8.2,831.5,Batch,1.31
1039.4,1.216,30.0,24.6,6.7,537.1,Continuous,1.058
2019.3,1.169,25.7,22.4,6.8,997.8,Continuous,0.765
4743.1,1.168,20.8,21.5,7.0,984.9,Continuous,2.893
1954.4,1.223,36.3,33.9,15.3,790.2,Batch,2.019
2834.6,1.167,21.8,26.8,11.6,519.7,Batch,0.988
3663.6,1.234,34.5,34.5,12.6,808.1,Batch,3.185
2136.3,1.224,23.2,21.3,6.5,443.3,Continuous,1.057
4873.0,1.167,21.3,26.3,9.0,418.4,Continuous,2.915
4831.0,1.168,23.9,30.8,11.2,554.6,Batch,3.364
1633.0,1.249,19.0,35.8,15.1,677.6,Continuous,1.246
2737.6,1.194,32.4,26.4,10.3,921.0,Batch,1.492
1854.0,1.193,25.1,32.5,14.5,836.3,Continuous,1.444
1781.8,1.233,17.0,37.7,12.4,845.6,Batch,1.117
666.0,1.245,37.0,32.3,14.0,655.3,Continuous,0.288
3243.0,1.249,21.5,24.7,6.3,607.6,Batch,2.317
2762.1,1.228,26.3,20.5,5.4,622.6,Continuous,1.167
731.7,1.194,37.2,37.4,13.6,992.6,Continuous,0.855
1753.9,1.168,28.7,20.4,6.3,424.1,Continuous,1.056
4587.2,1.23,13.5,37.5,13.4,920.2,Batch,2.89
1578.0,1.21,38.2,30.6,11.6,747.2,Batch,0.959
1152.0,1.198,28.8,38.8,15.2,663.2,Batch,1.356
2702.5,1.242,20.0,36.0,15.8,835.2,Batch,1.836
4935.4,1.17,14.2,40.0,12.3,692.0,Batch,3.782
1589.2,1.204,33.8,27.0,10.3,924.1,Continuous,1.276
3524.6,1.161,28.6,35.3,14.1,940.4,Batch,2.965
3927.3,1.202,26.0,28.0,9.7,653.0,Batch,2.465
1569.4,1.165,36.8,29.6,9.3,566.1,Batch,0.83
3777.0,1.171,33.7,32.6,14.0,755.4,Batch,3.307
2155.0,1.171,14.6,37.5,15.2,947.4,Continuous,2.405
3345.4,1.218,19.4,39.7,14.8,526.4,Batch,3.247
3350.9,1.227,17.5,35.4,12.2,773.8,Continuous,2.793
2911.0,1.213,32.3,28.4,9.8,778.9,Batch,1.698
906.3,1.247,11.0,28.4,10.4,839.9,Continuous,0.396
4258.9,1.194,27.1,34.8,13.2,478.9,Continuous,3.624
1943.5,1.186,32.9,24.8,5.6,829.5,Batch,1.311
1339.3,1.238,36.3,22.2,6.1,945.4,Continuous,1.35
683.5,1.18,20.3,27.1,8.9,507.8,Batch,0.613
3159.0,1.247,34.6,25.7,10.0,542.5,Continuous,1.693
3549.0,1.161,13.3,25.9,8.4,982.8,Batch,2.51
574.6,1.247,35.4,24.7,7.5,508.6,Continuous,0.144
2804.4,1.164,13.8,20.8,5.8,912.6,Continuous,1.309
1519.2,1.24,21.9,20.4,6.6,695.4,Continuous,0.972
3403.3,1.207,33.9,39.8,12.9,548.3,Continuous,3.963
1284.6,1.249,14.5,28.6,10.4,922.4,Batch,1.859
3609.2,1.167,16.9,27.7,11.0,667.2,Batch,2.459
2240.3,1.21,31.7,33.6,14.4,708.9,Batch,1.681
4715.3,1.247,31.6,24.4,7.6,615.5,Batch,3.375
1118.8,1.207,29.2,39.0,14.6,755.8,Continuous,1.3
2034.8,1.217,30.8,35.7,12.5,498.1,Batch,1.544
1010.6,1.223,26.3,21.8,7.4,634.6,Continuous,1.158
4661.1,1.201,17.6,28.4,9.9,981.6,Continuous,3.294
4448.0,1.216,20.4,37.6,13.8,554.9,Continuous,4.033
1660.7,1.213,15.4,38.9,14.3,794.0,Batch,1.613
3469.9,1.241,37.3,29.3,9.1,595.1,Continuous,2.94
4177.5,1.164,27.5,32.3,12.3,864.1,Continuous,3.431
2998.4,1.185,22.0,23.3,6.5,478.5,Batch,1.396
2883.4,1.246,23.9,39.8,13.0,981.9,Continuous,2.51
1588.3,1.24,38.4,24.6,7.2,672.3,Continuous,0.786
919.0,1.201,14.6,38.9,15.3,541.6,Batch,0.899
4537.5,1.216,27.6,33.0,15.2,444.1,Batch,3.78
4551.9,1.185,25.2,32.2,14.2,501.9,Batch,3.413
3349.0,1.177,28.3,30.3,10.1,711.9,Batch,2.95
2025.6,1.202,10.5,24.6,7.3,602.2,Batch,1.147
2071.4,1.192,36.2,23.5,7.0,897.3,Batch,1.47
3766.8,1.213,38.0,24.4,7.9,658.5,Batch,1.916
4537.0,1.167,27.0,23.7,5.2,549.2,Batch,2.276
4491.9,1.248,30.9,35.6,13.1,770.3,Continuous,4.352
4009.4,1.249,37.7,27.0,9.4,824.1,Batch,3.341
3389.1,1.223,31.2,21.2,5.8,500.2,Continuous,1.91
878.6,1.208,14.6,39.4,12.2,500.6,Batch,0.719
1227.3,1.188,27.3,37.7,15.0,422.0,Batch,0.527
4543.5,1.233,28.2,38.6,13.3,841.8,Batch,3.815
3228.9,1.222,22.7,39.9,12.0,798.3,Batch,3.179
541.4,1.175,32.1,23.5,7.3,684.8,Batch,0.474
956.6,1.242,38.0,27.9,8.3,906.5,Continuous,0.912
3485.8,1.234,37.8,35.2,13.1,883.4,Batch,3.006
522.8,1.245,23.5,33.9,14.8,751.2,Continuous,0.465
1223.6,1.225,13.4,23.1,6.5,921.0,Continuous,0.53
2969.3,1.215,39.5,36.3,15.4,523.5,Batch,2.785
3613.5,1.198,35.2,24.5,5.2,467.2,Batch,2.353
3433.8,1.244,13.7,24.5,7.7,561.8,Continuous,2.337
1509.2,1.238,37.6,30.7,10.8,434.3,Batch,1.007
3704.8,1.164,36.1,31.9,12.0,718.7,Batch,1.617
1567.6,1.162,25.6,31.6,8.5,962.0,Continuous,1.492
1964.3,1.194,27.7,21.8,6.0,423.6,Batch,0.893
3859.2,1.233,22.0,37.5,13.1,473.3,Continuous,2.976
3423.3,1.249,11.6,25.3,9.7,671.3,Continuous,2.462
4321.5,1.174,20.1,22.6,7.0,960.3,Batch,2.134
3459.3,1.213,34.1,37.8,15.2,589.7,Batch,3.397
3057.4,1.194,10.1,39.1,15.6,704.3,Batch,2.729
921.5,1.247,20.0,37.2,13.7,424.9,Batch,0.985
2154.7,1.236,21.9,36.2,15.6,489.0,Batch,1.272
1693.4,1.235,26.1,33.1,13.5,992.0,Continuous,1.819
1598.0,1.202,37.6,31.0,11.8,979.1,Batch,1.281
4878.5,1.197,20.4,21.7,7.2,403.0,Batch,2.374
2268.9,1.185,20.4,28.2,8.0,971.1,Continuous,1.583
4514.2,1.165,32.1,27.5,10.5,783.5,Continuous,2.07
3340.1,1.238,23.6,25.2,8.2,920.8,Continuous,2.43
4076.7,1.233,16.7,34.5,14.5,672.8,Batch,2.662
2761.9,1.25,23.6,29.9,8.2,709.4,Continuous,1.593
3096.1,1.25,14.2,21.6,6.4,693.3,Batch,1.093
2716.3,1.21,15.3,24.4,7.9,800.1,Batch,2.013
1378.6,1.229,25.0,33.7,14.9,483.8,Batch,0.882
3751.0,1.245,22.6,21.5,6.0,418.0,Continuous,2.91
1763.5,1.236,37.4,37.0,15.9,584.8,Batch,1.392
609.4,1.182,20.9,29.9,9.5,822.8,Batch,0.05
3404.6,1.201,27.4,29.6,8.5,521.1,Batch,1.843
1297.0,1.172,29.0,31.8,9.7,804.1,Batch,1.303
4732.1,1.246,10.4,36.5,13.2,981.9,Continuous,3.857
4792.7,1.215,29.9,27.0,8.3,456.3,Continuous,3.015
4616.9,1.181,15.3,33.6,15.1,803.6,Continuous,3.56
2165.7,1.22,38.8,31.3,9.4,666.3,Batch,1.848
569.6,1.216,14.5,25.3,11.8,920.9,Batch,0.675
4677.4,1.192,22.4,37.6,13.4,506.3,Batch,4.417
2426.8,1.17,12.6,35.9,15.8,815.6,Batch,1.702
4849.9,1.22,39.9,33.2,14.0,902.9,Batch,3.262
4836.3,1.207,25.1,37.0,13.7,966.8,Continuous,3.946
4338.5,1.23,27.9,37.3,13.8,809.9,Batch,3.815
1825.0,1.207,12.0,34.2,12.8,698.3,Batch,1.025
2232.9,1.237,32.5,36.7,13.5,770.7,Batch,1.597
4330.1,1.21,16.3,33.9,13.5,921.3,Batch,3.397
1926.1,1.21,36.9,33.6,12.2,742.4,Batch,1.513
1262.7,1.239,16.2,32.4,15.1,418.2,Continuous,0.994
3005.6,1.196,15.7,35.1,13.7,958.6,Continuous,2.094
4712.7,1.172,11.1,23.2,6.4,813.7,Continuous,2.524
3632.1,1.163,24.2,37.6,15.4,805.9,Batch,2.439
3065.3,1.228,26.9,37.4,12.8,529.4,Batch,2.939
937.3,1.216,12.0,20.6,6.6,795.3,Batch,0.797
3267.5,1.223,33.3,36.5,13.9,636.3,Batch,1.994
4955.2,1.179,23.6,22.6,6.5,790.7,Continuous,2.347
1130.4,1.172,25.7,26.7,9.2,464.0,Batch,0.227
2832.5,1.161,23.2,34.9,14.7,794.7,Batch,1.829
4448.2,1.192,22.0,23.2,5.2,999.6,Batch,2.469
3833.5,1.213,26.8,36.4,13.2,428.9,Batch,2.433
3636.6,1.195,14.7,36.6,12.5,986.3,Continuous,2.588
3661.2,1.199,15.5,30.1,10.2,644.1,Batch,2.011
2117.7,1.241,35.9,20.1,5.5,922.5,Batch,1.362
1821.2,1.191,38.4,25.7,10.9,869.4,Batch,1.189
4142.1,1.206,21.2,32.3,14.6,740.2,Batch,2.677
4145.5,1.231,18.1,39.6,13.6,843.1,Continuous,3.825
4401.8,1.196,29.3,32.6,14.9,927.1,Continuous,3.168
4609.6,1.216,22.3,25.2,9.7,642.5,Continuous,2.833
2801.0,1.238,10.8,32.7,15.6,596.2,Continuous,2.774
2756.8,1.245,14.7,30.8,9.1,800.6,Batch,2.476
4092.3,1.173,31.5,35.6,13.5,884.7,Continuous,2.696
3424.8,1.243,29.8,22.1,6.4,857.4,Batch,2.47
3658.9,1.204,10.8,35.2,12.4,878.7,Batch,3.106
4081.1,1.183,16.7,30.8,11.2,661.3,Continuous,2.355
4505.0,1.201,16.9,39.3,13.1,890.7,Batch,4.132
2021.0,1.248,30.2,26.8,11.4,472.1,Continuous,2.026
2190.1,1.204,10.6,32.7,12.1,726.7,Batch,1.152
922.9,1.19,13.1,38.6,13.5,403.5,Continuous,0.517
3102.3,1.217,34.0,22.1,6.6,594.8,Continuous,2.336
661.7,1.182,15.4,38.7,12.1,619.9,Continuous,0.654
2595.2,1.167,29.6,33.8,12.5,637.7,Continuous,2.175
2941.9,1.172,17.1,21.4,7.0,817.3,Continuous,1.71
1789.4,1.172,13.0,26.0,10.8,633.1,Batch,1.181
3158.7,1.174,17.3,34.2,13.6,669.2,Batch,1.748
637.3,1.172,31.7,21.3,7.3,542.5,Batch,0.635
668.1,1.218,35.7,31.6,8.7,624.0,Continuous,0.878
4201.7,1.176,34.9,26.9,9.7,536.4,Batch,2.482
2120.9,1.191,21.9,32.4,13.9,443.9,Continuous,1.569
1071.8,1.241,30.0,20.9,5.9,762.1,Batch,0.18
2850.1,1.203,16.1,37.4,14.1,800.9,Batch,2.486
3965.0,1.22,18.8,39.5,14.7,771.7,Continuous,3.799
1471.2,1.176,36.9,39.4,13.2,678.1,Batch,1.219
3303.0,1.177,10.4,35.0,15.1,627.9,Batch,2.887
884.1,1.164,12.6,22.6,6.2,918.0,Batch,0.374
